Parameter,Row index,Col index,Well specified value,Misspecified value,run_ID,n,m,K,s,nu
pp,1,1,0.999,0.9990630227792817,374,100001,2,100,1,2
pp,2,1,0.001,0.0010335351669668682,374,100001,2,100,1,2
pp,1,2,0.001,9.36977220718229e-4,374,100001,2,100,1,2
pp,2,2,0.999,0.9989664648330332,374,100001,2,100,1,2
s,1,1,1,1,374,100001,2,100,1,2
Pi,1,1,0.5,0.5,375,100001,2,200,1,2
Pi,2,1,0.5,0.5,375,100001,2,200,1,2
pp,1,1,0.998,0.9963165101433379,375,100001,2,200,1,2
pp,2,1,0.002,0.0011848226360827937,375,100001,2,200,1,2
pp,1,2,0.002,0.0036834898566621963,375,100001,2,200,1,2
pp,2,2,0.998,0.9988151773639172,375,100001,2,200,1,2
s,1,1,1,1,375,100001,2,200,1,2
Pi,1,1,0.5,0.5,376,100001,2,10,1,2
Pi,2,1,0.5,0.5,376,100001,2,10,1,2
pp,1,1,0.9999,0.9998678255365404,376,100001,2,10,1,2
pp,2,1,1e-4,1.4874592708612788e-4,376,100001,2,10,1,2
pp,1,2,1e-4,1.321744634595926e-4,376,100001,2,10,1,2
pp,2,2,0.9999,0.999851254072914,376,100001,2,10,1,2
s,1,1,1,1,376,100001,2,10,1,2
Pi,1,1,0.5,0.5,377,100001,2,10,1,2
Pi,2,1,0.5,0.5,377,100001,2,10,1,2
pp,1,1,0.9999,0.9999375153373916,377,100001,2,10,1,2
pp,2,1,1e-4,1.0758983199499683e-4,377,100001,2,10,1,2
pp,1,2,1e-4,6.248466260837459e-5,377,100001,2,10,1,2
pp,2,2,0.9999,0.999892410168005,377,100001,2,10,1,2
s,1,1,1,1,377,100001,2,10,1,2
Pi,1,1,0.5,0.5,378,100001,2,1000,1,2
Pi,2,1,0.5,0.5,378,100001,2,1000,1,2
pp,1,1,0.99,0.9902519197183023,378,100001,2,1000,1,2
pp,2,1,0.01,0.011657378024697808,378,100001,2,1000,1,2
pp,1,2,0.01,0.009748080281697664,378,100001,2,1000,1,2
pp,2,2,0.99,0.9883426219753022,378,100001,2,1000,1,2
s,1,1,1,1,378,100001,2,1000,1,2
Pi,1,1,0.5,0.5,379,100001,2,200,1,2
Pi,2,1,0.5,0.5,379,100001,2,200,1,2
pp,1,1,0.998,0.9966682500206697,379,100001,2,200,1,2
pp,2,1,0.002,0.0021630905037583947,379,100001,2,200,1,2
pp,1,2,0.002,0.003331749979330281,379,100001,2,200,1,2
pp,2,2,0.998,0.9978369094962417,379,100001,2,200,1,2
s,1,1,1,1,379,100001,2,200,1,2
Pi,1,1,0.5,0.5,380,100001,2,10,1,2
Pi,2,1,0.5,0.5,380,100001,2,10,1,2
pp,1,1,0.9999,0.9998778966131145,380,100001,2,10,1,2
pp,2,1,1e-4,1.2171011726622074e-4,380,100001,2,10,1,2
pp,1,2,1e-4,1.2210338688550495e-4,380,100001,2,10,1,2
pp,2,2,0.9999,0.9998782898827339,380,100001,2,10,1,2
s,1,1,1,1,380,100001,2,10,1,2
Pi,1,1,0.5,0.5,381,100001,2,2000,1,2
Pi,2,1,0.5,0.5,381,100001,2,2000,1,2
pp,1,1,0.98,0.9773444715449371,381,100001,2,2000,1,2
pp,2,1,0.02,0.023232605756435244,381,100001,2,2000,1,2
pp,1,2,0.02,0.022655528455062933,381,100001,2,2000,1,2
pp,2,2,0.98,0.9767673942435647,381,100001,2,2000,1,2
s,1,1,1,1,381,100001,2,2000,1,2
Pi,1,1,0.5,0.5,382,100001,2,2000,1,2
Pi,2,1,0.5,0.5,382,100001,2,2000,1,2
pp,1,1,0.98,0.9809330862441467,382,100001,2,2000,1,2
pp,2,1,0.02,0.026767159531794756,382,100001,2,2000,1,2
pp,1,2,0.02,0.019066913755853353,382,100001,2,2000,1,2
pp,2,2,0.98,0.9732328404682052,382,100001,2,2000,1,2
s,1,1,1,1,382,100001,2,2000,1,2
Pi,1,1,0.5,0.5,383,100001,2,2000,1,2
Pi,2,1,0.5,0.5,383,100001,2,2000,1,2
pp,1,1,0.98,0.9701356397442802,383,100001,2,2000,1,2
pp,2,1,0.02,0.01670833640301277,383,100001,2,2000,1,2
pp,1,2,0.02,0.02986436025571984,383,100001,2,2000,1,2
pp,2,2,0.98,0.9832916635969873,383,100001,2,2000,1,2
s,1,1,1,1,383,100001,2,2000,1,2
Pi,1,1,0.5,0.5,384,100001,2,200,1,2
Pi,2,1,0.5,0.5,384,100001,2,200,1,2
pp,1,1,0.998,0.9988977074572556,384,100001,2,200,1,2
pp,2,1,0.002,0.003803372972257327,384,100001,2,200,1,2
pp,1,2,0.002,0.0011022925427444127,384,100001,2,200,1,2
pp,2,2,0.998,0.9961966270277427,384,100001,2,200,1,2
s,1,1,1,1,384,100001,2,200,1,2
Pi,1,1,0.5,0.5,385,100001,2,100,1,2
Pi,2,1,0.5,0.5,385,100001,2,100,1,2
pp,1,1,0.999,0.9990751203212898,385,100001,2,100,1,2
pp,2,1,0.001,0.001594055837481987,385,100001,2,100,1,2
pp,1,2,0.001,9.248796787102551e-4,385,100001,2,100,1,2
pp,2,2,0.999,0.998405944162518,385,100001,2,100,1,2
s,1,1,1,1,385,100001,2,100,1,2
Pi,1,1,0.5,0.5,386,100001,2,2000,1,2
Pi,2,1,0.5,0.5,386,100001,2,2000,1,2
pp,1,1,0.98,0.9695924838976008,386,100001,2,2000,1,2
pp,2,1,0.02,0.03850605440928837,386,100001,2,2000,1,2
pp,1,2,0.02,0.030407516102399192,386,100001,2,2000,1,2
pp,2,2,0.98,0.9614939455907118,386,100001,2,2000,1,2
s,1,1,1,1,386,100001,2,2000,1,2
Pi,1,1,0.5,0.5,387,100001,2,5,1,2
Pi,2,1,0.5,0.5,387,100001,2,5,1,2
pp,1,1,0.99995,0.9999193103544282,387,100001,2,5,1,2
pp,2,1,5e-5,9.42931846732537e-5,387,100001,2,5,1,2
pp,1,2,5e-5,8.068964557184824e-5,387,100001,2,5,1,2
pp,2,2,0.99995,0.9999057068153268,387,100001,2,5,1,2
s,1,1,1,1,387,100001,2,5,1,2
Pi,1,1,0.5,0.5,388,100001,2,100,1,2
Pi,2,1,0.5,0.5,388,100001,2,100,1,2
pp,1,1,0.999,0.9980738662665403,388,100001,2,100,1,2
pp,2,1,0.001,0.001540213699523456,388,100001,2,100,1,2
pp,1,2,0.001,0.0019261337334598296,388,100001,2,100,1,2
pp,2,2,0.999,0.9984597863004766,388,100001,2,100,1,2
s,1,1,1,1,388,100001,2,100,1,2
Pi,1,1,0.5,0.5,389,100001,2,5,1,2
Pi,2,1,0.5,0.5,389,100001,2,5,1,2
pp,1,1,0.99995,0.9999497673130021,389,100001,2,5,1,2
pp,2,1,5e-5,5.561582376458441e-5,389,100001,2,5,1,2
pp,1,2,5e-5,5.0232686997806275e-5,389,100001,2,5,1,2
pp,2,2,0.99995,0.9999443841762354,389,100001,2,5,1,2
s,1,1,1,1,389,100001,2,5,1,2
Pi,1,1,0.5,0.5,390,100001,2,5,1,2
Pi,2,1,0.5,0.5,390,100001,2,5,1,2
pp,1,1,0.99995,0.9999219973439292,390,100001,2,5,1,2
pp,2,1,5e-5,5.9612813058981305e-5,390,100001,2,5,1,2
pp,1,2,5e-5,7.800265607082809e-5,390,100001,2,5,1,2
pp,2,2,0.99995,0.999940387186941,390,100001,2,5,1,2
s,1,1,1,1,390,100001,2,5,1,2
Pi,1,1,0.5,0.5,391,100001,2,20,1,2
Pi,2,1,0.5,0.5,391,100001,2,20,1,2
pp,1,1,0.9998,0.9996282941189343,391,100001,2,20,1,2
pp,2,1,2e-4,1.1035481166253846e-4,391,100001,2,20,1,2
pp,1,2,2e-4,3.717058810656857e-4,391,100001,2,20,1,2
pp,2,2,0.9998,0.9998896451883375,391,100001,2,20,1,2
s,1,1,1,1,391,100001,2,20,1,2
Pi,1,1,0.5,0.5,392,100001,2,1000,1,2
Pi,2,1,0.5,0.5,392,100001,2,1000,1,2
pp,1,1,0.99,0.9853556668941021,392,100001,2,1000,1,2
pp,2,1,0.01,0.012840116223958755,392,100001,2,1000,1,2
pp,1,2,0.01,0.014644333105897835,392,100001,2,1000,1,2
pp,2,2,0.99,0.9871598837760414,392,100001,2,1000,1,2
s,1,1,1,1,392,100001,2,1000,1,2
Pi,1,1,0.5,0.5,393,100001,2,1,1,2
Pi,2,1,0.5,0.5,393,100001,2,1,1,2
pp,1,1,0.99999,0.999981713522781,393,100001,2,1,1,2
pp,2,1,1e-5,9.369284245354369e-6,393,100001,2,1,1,2
pp,1,2,1e-5,1.8286477219000462e-5,393,100001,2,1,1,2
pp,2,2,0.99999,0.9999906307157547,393,100001,2,1,1,2
s,1,1,1,1,393,100001,2,1,1,2
Pi,1,1,0.5,0.5,394,100001,2,2000,1,2
Pi,2,1,0.5,0.5,394,100001,2,2000,1,2
pp,1,1,0.98,0.9882301762333504,394,100001,2,2000,1,2
pp,2,1,0.02,0.021040351383139953,394,100001,2,2000,1,2
pp,1,2,0.02,0.011769823766649581,394,100001,2,2000,1,2
pp,2,2,0.98,0.9789596486168599,394,100001,2,2000,1,2
s,1,1,1,1,394,100001,2,2000,1,2
Pi,1,1,0.5,0.5,395,100001,2,5,1,2
Pi,2,1,0.5,0.5,395,100001,2,5,1,2
pp,1,1,0.99995,0.9999610083187085,395,100001,2,5,1,2
pp,2,1,5e-5,5.03089763595369e-5,395,100001,2,5,1,2
pp,1,2,5e-5,3.89916812914793e-5,395,100001,2,5,1,2
pp,2,2,0.99995,0.9999496910236406,395,100001,2,5,1,2
s,1,1,1,1,395,100001,2,5,1,2
Pi,1,1,0.5,0.5,396,100001,2,500,1,2
Pi,2,1,0.5,0.5,396,100001,2,500,1,2
pp,1,1,0.995,0.9927378124507358,396,100001,2,500,1,2
pp,2,1,0.005,0.005454308868068576,396,100001,2,500,1,2
pp,1,2,0.005,0.007262187549264147,396,100001,2,500,1,2
pp,2,2,0.995,0.9945456911319314,396,100001,2,500,1,2
s,1,1,1,1,396,100001,2,500,1,2
Pi,1,1,0.5,0.5,397,100001,2,1000,1,2
Pi,2,1,0.5,0.5,397,100001,2,1000,1,2
pp,1,1,0.99,0.9846847958649935,397,100001,2,1000,1,2
pp,2,1,0.01,0.012832084253238668,397,100001,2,1000,1,2
pp,1,2,0.01,0.01531520413500647,397,100001,2,1000,1,2
pp,2,2,0.99,0.9871679157467612,397,100001,2,1000,1,2
s,1,1,1,1,397,100001,2,1000,1,2
Pi,1,1,0.5,0.5,398,100001,2,10,1,2
Pi,2,1,0.5,0.5,398,100001,2,10,1,2
pp,1,1,0.9999,0.9999242510590659,398,100001,2,10,1,2
pp,2,1,1e-4,1.4122243279774408e-4,398,100001,2,10,1,2
pp,1,2,1e-4,7.57489409340613e-5,398,100001,2,10,1,2
pp,2,2,0.9999,0.9998587775672022,398,100001,2,10,1,2
s,1,1,1,1,398,100001,2,10,1,2
Pi,1,1,0.5,0.5,399,100001,2,2,1,2
Pi,2,1,0.5,0.5,399,100001,2,2,1,2
pp,1,1,0.99998,0.9999747771351655,399,100001,2,2,1,2
pp,2,1,2e-5,1.3779262271137796e-5,399,100001,2,2,1,2
pp,1,2,2e-5,2.5222864834492953e-5,399,100001,2,2,1,2
pp,2,2,0.99998,0.9999862207377289,399,100001,2,2,1,2
s,1,1,1,1,399,100001,2,2,1,2
Pi,1,1,0.5,0.5,400,100001,2,100,1,2
Pi,2,1,0.5,0.5,400,100001,2,100,1,2
pp,1,1,0.999,0.9989841358065615,400,100001,2,100,1,2
pp,2,1,0.001,0.0014553459628789157,400,100001,2,100,1,2
pp,1,2,0.001,0.0010158641934384545,400,100001,2,100,1,2
pp,2,2,0.999,0.998544654037121,400,100001,2,100,1,2
s,1,1,1,1,400,100001,2,100,1,2
Pi,1,1,0.5,0.5,401,100001,2,500,1,2
Pi,2,1,0.5,0.5,401,100001,2,500,1,2
pp,1,1,0.995,0.994306254256015,401,100001,2,500,1,2
pp,2,1,0.005,0.008651258167481262,401,100001,2,500,1,2
pp,1,2,0.005,0.005693745743984978,401,100001,2,500,1,2
pp,2,2,0.995,0.9913487418325188,401,100001,2,500,1,2
s,1,1,1,1,401,100001,2,500,1,2
Pi,1,1,0.5,0.5,402,100001,2,100,1,2
Pi,2,1,0.5,0.5,402,100001,2,100,1,2
pp,1,1,0.999,0.9983296577225262,402,100001,2,100,1,2
pp,2,1,0.001,6.629405583265837e-4,402,100001,2,100,1,2
pp,1,2,0.001,0.001670342277473688,402,100001,2,100,1,2
pp,2,2,0.999,0.9993370594416734,402,100001,2,100,1,2
s,1,1,1,1,402,100001,2,100,1,2
Pi,1,1,0.5,0.5,403,100001,2,200,1,2
Pi,2,1,0.5,0.5,403,100001,2,200,1,2
pp,1,1,0.998,0.996646601450175,403,100001,2,200,1,2
pp,2,1,0.002,0.0013307494210626006,403,100001,2,200,1,2
pp,1,2,0.002,0.0033533985498250527,403,100001,2,200,1,2
pp,2,2,0.998,0.9986692505789374,403,100001,2,200,1,2
s,1,1,1,1,403,100001,2,200,1,2
Pi,1,1,0.5,0.5,404,100001,2,1,1,2
Pi,2,1,0.5,0.5,404,100001,2,1,1,2
pp,1,1,0.99999,0.9999840042253779,404,100001,2,1,1,2
pp,2,1,1e-5,7.741145311832694e-6,404,100001,2,1,1,2
pp,1,2,1e-5,1.5995774622011644e-5,404,100001,2,1,1,2
pp,2,2,0.99999,0.9999922588546882,404,100001,2,1,1,2
s,1,1,1,1,404,100001,2,1,1,2
Pi,1,1,0.5,0.5,405,100001,2,50,1,2
Pi,2,1,0.5,0.5,405,100001,2,50,1,2
pp,1,1,0.9995,0.9992127401293269,405,100001,2,50,1,2
pp,2,1,5e-4,8.014965935978289e-4,405,100001,2,50,1,2
pp,1,2,5e-4,7.872598706731756e-4,405,100001,2,50,1,2
pp,2,2,0.9995,0.9991985034064021,405,100001,2,50,1,2
s,1,1,1,1,405,100001,2,50,1,2
Pi,1,1,0.5,0.5,406,100001,2,10,1,2
Pi,2,1,0.5,0.5,406,100001,2,10,1,2
pp,1,1,0.9999,0.9998255194136707,406,100001,2,10,1,2
pp,2,1,1e-4,5.6960355046138665e-5,406,100001,2,10,1,2
pp,1,2,1e-4,1.7448058632932756e-4,406,100001,2,10,1,2
pp,2,2,0.9999,0.9999430396449539,406,100001,2,10,1,2
s,1,1,1,1,406,100001,2,10,1,2
Pi,1,1,0.5,0.5,407,100001,2,5,1,2
Pi,2,1,0.5,0.5,407,100001,2,5,1,2
pp,1,1,0.99995,0.9999701000237405,407,100001,2,5,1,2
pp,2,1,5e-5,8.975371381256143e-5,407,100001,2,5,1,2
pp,1,2,5e-5,2.9899976259464307e-5,407,100001,2,5,1,2
pp,2,2,0.99995,0.9999102462861875,407,100001,2,5,1,2
s,1,1,1,1,407,100001,2,5,1,2
Pi,1,1,0.5,0.5,408,100001,2,100,1,2
Pi,2,1,0.5,0.5,408,100001,2,100,1,2
pp,1,1,0.999,0.999161173703948,408,100001,2,100,1,2
pp,2,1,0.001,0.0011104763546521915,408,100001,2,100,1,2
pp,1,2,0.001,8.388262960519738e-4,408,100001,2,100,1,2
pp,2,2,0.999,0.9988895236453479,408,100001,2,100,1,2
s,1,1,1,1,408,100001,2,100,1,2
Pi,1,1,0.5,0.5,409,100001,2,50,1,2
Pi,2,1,0.5,0.5,409,100001,2,50,1,2
pp,1,1,0.9995,0.9990918520692608,409,100001,2,50,1,2
pp,2,1,5e-4,5.387730554895221e-4,409,100001,2,50,1,2
pp,1,2,5e-4,9.081479307392802e-4,409,100001,2,50,1,2
pp,2,2,0.9995,0.9994612269445105,409,100001,2,50,1,2
s,1,1,1,1,409,100001,2,50,1,2
Pi,1,1,0.5,0.5,410,100001,2,500,1,2
Pi,2,1,0.5,0.5,410,100001,2,500,1,2
pp,1,1,0.995,0.9928395482827248,410,100001,2,500,1,2
pp,2,1,0.005,0.0025642518849707343,410,100001,2,500,1,2
pp,1,2,0.005,0.007160451717275176,410,100001,2,500,1,2
pp,2,2,0.995,0.9974357481150293,410,100001,2,500,1,2
s,1,1,1,1,410,100001,2,500,1,2
Pi,1,1,0.5,0.5,411,100001,2,20,1,2
Pi,2,1,0.5,0.5,411,100001,2,20,1,2
pp,1,1,0.9998,0.9997168296873773,411,100001,2,20,1,2
pp,2,1,2e-4,3.0299262751341073e-4,411,100001,2,20,1,2
pp,1,2,2e-4,2.8317031262276135e-4,411,100001,2,20,1,2
pp,2,2,0.9998,0.9996970073724867,411,100001,2,20,1,2
s,1,1,1,1,411,100001,2,20,1,2
Pi,1,1,0.5,0.5,412,100001,2,2000,1,2
Pi,2,1,0.5,0.5,412,100001,2,2000,1,2
pp,1,1,0.98,0.9681297551497372,412,100001,2,2000,1,2
pp,2,1,0.02,0.03305147894675751,412,100001,2,2000,1,2
pp,1,2,0.02,0.03187024485026276,412,100001,2,2000,1,2
pp,2,2,0.98,0.9669485210532425,412,100001,2,2000,1,2
s,1,1,1,1,412,100001,2,2000,1,2
Pi,1,1,0.5,0.5,413,100001,2,50,1,2
Pi,2,1,0.5,0.5,413,100001,2,50,1,2
pp,1,1,0.9995,0.999058182125004,413,100001,2,50,1,2
pp,2,1,5e-4,9.125118208634029e-4,413,100001,2,50,1,2
pp,1,2,5e-4,9.418178749960749e-4,413,100001,2,50,1,2
pp,2,2,0.9995,0.9990874881791365,413,100001,2,50,1,2
s,1,1,1,1,413,100001,2,50,1,2
Pi,1,1,0.5,0.5,414,100001,2,50,1,2
Pi,2,1,0.5,0.5,414,100001,2,50,1,2
pp,1,1,0.9995,0.9993992572404081,414,100001,2,50,1,2
pp,2,1,5e-4,4.171332875353943e-4,414,100001,2,50,1,2
pp,1,2,5e-4,6.007427595919002e-4,414,100001,2,50,1,2
pp,2,2,0.9995,0.9995828667124647,414,100001,2,50,1,2
s,1,1,1,1,414,100001,2,50,1,2
Pi,1,1,0.5,0.5,415,100001,2,10,1,2
Pi,2,1,0.5,0.5,415,100001,2,10,1,2
pp,1,1,0.9999,0.9998968858484207,415,100001,2,10,1,2
pp,2,1,1e-4,1.9523210290653186e-4,415,100001,2,10,1,2
pp,1,2,1e-4,1.0311415157921594e-4,415,100001,2,10,1,2
pp,2,2,0.9999,0.9998047678970936,415,100001,2,10,1,2
s,1,1,1,1,415,100001,2,10,1,2
Pi,1,1,0.5,0.5,416,100001,2,100,1,2
Pi,2,1,0.5,0.5,416,100001,2,100,1,2
pp,1,1,0.999,0.9990022892918853,416,100001,2,100,1,2
pp,2,1,0.001,0.0013003208211979883,416,100001,2,100,1,2
pp,1,2,0.001,9.977107081147166e-4,416,100001,2,100,1,2
pp,2,2,0.999,0.9986996791788021,416,100001,2,100,1,2
s,1,1,1,1,416,100001,2,100,1,2
Pi,1,1,0.5,0.5,417,100001,2,500,1,2
Pi,2,1,0.5,0.5,417,100001,2,500,1,2
pp,1,1,0.995,0.991084342888693,417,100001,2,500,1,2
pp,2,1,0.005,0.004248563584087116,417,100001,2,500,1,2
pp,1,2,0.005,0.008915657111306968,417,100001,2,500,1,2
pp,2,2,0.995,0.9957514364159129,417,100001,2,500,1,2
s,1,1,1,1,417,100001,2,500,1,2
Pi,1,1,0.5,0.5,418,100001,2,50,1,2
Pi,2,1,0.5,0.5,418,100001,2,50,1,2
pp,1,1,0.9995,0.9997492347496396,418,100001,2,50,1,2
pp,2,1,5e-4,4.8335871424767373e-4,418,100001,2,50,1,2
pp,1,2,5e-4,2.507652503604466e-4,418,100001,2,50,1,2
pp,2,2,0.9995,0.9995166412857523,418,100001,2,50,1,2
s,1,1,1,1,418,100001,2,50,1,2
Pi,1,1,0.5,0.5,419,100001,2,50,1,2
Pi,2,1,0.5,0.5,419,100001,2,50,1,2
pp,1,1,0.9995,0.9992252830804432,419,100001,2,50,1,2
pp,2,1,5e-4,6.676057518233002e-4,419,100001,2,50,1,2
pp,1,2,5e-4,7.747169195567702e-4,419,100001,2,50,1,2
pp,2,2,0.9995,0.9993323942481765,419,100001,2,50,1,2
s,1,1,1,1,419,100001,2,50,1,2
Pi,1,1,0.5,0.5,420,100001,2,20,1,2
Pi,2,1,0.5,0.5,420,100001,2,20,1,2
pp,1,1,0.9998,0.9996527055434513,420,100001,2,20,1,2
pp,2,1,2e-4,2.4273810290684433e-4,420,100001,2,20,1,2
pp,1,2,2e-4,3.4729445654868574e-4,420,100001,2,20,1,2
pp,2,2,0.9998,0.9997572618970931,420,100001,2,20,1,2
s,1,1,1,1,420,100001,2,20,1,2
Pi,1,1,0.5,0.5,421,100001,2,100,1,2
Pi,2,1,0.5,0.5,421,100001,2,100,1,2
pp,1,1,0.999,0.9982532803356058,421,100001,2,100,1,2
pp,2,1,0.001,7.708982854574729e-4,421,100001,2,100,1,2
pp,1,2,0.001,0.001746719664394109,421,100001,2,100,1,2
pp,2,2,0.999,0.9992291017145426,421,100001,2,100,1,2
s,1,1,1,1,421,100001,2,100,1,2
Pi,1,1,0.5,0.5,422,100001,2,10,1,2
Pi,2,1,0.5,0.5,422,100001,2,10,1,2
pp,1,1,0.9999,0.9999462199263922,422,100001,2,10,1,2
pp,2,1,1e-4,1.803316754399199e-4,422,100001,2,10,1,2
pp,1,2,1e-4,5.378007360776624e-5,422,100001,2,10,1,2
pp,2,2,0.9999,0.9998196683245602,422,100001,2,10,1,2
s,1,1,1,1,422,100001,2,10,1,2
Pi,1,1,0.5,0.5,423,100001,2,2,1,2
Pi,2,1,0.5,0.5,423,100001,2,2,1,2
pp,1,1,0.99998,0.9999814641827446,423,100001,2,2,1,2
pp,2,1,2e-5,3.494858128355773e-5,423,100001,2,2,1,2
pp,1,2,2e-5,1.8535817255456056e-5,423,100001,2,2,1,2
pp,2,2,0.99998,0.9999650514187164,423,100001,2,2,1,2
s,1,1,1,1,423,100001,2,2,1,2
Pi,1,1,0.5,0.5,424,100001,2,20,1,2
Pi,2,1,0.5,0.5,424,100001,2,20,1,2
pp,1,1,0.9998,0.9998355535248041,424,100001,2,20,1,2
pp,2,1,2e-4,3.3525310416967797e-4,424,100001,2,20,1,2
pp,1,2,2e-4,1.6444647519582548e-4,424,100001,2,20,1,2
pp,2,2,0.9998,0.9996647468958303,424,100001,2,20,1,2
s,1,1,1,1,424,100001,2,20,1,2
Pi,1,1,0.5,0.5,425,100001,2,2000,1,2
Pi,2,1,0.5,0.5,425,100001,2,2000,1,2
pp,1,1,0.98,0.9740299953482056,425,100001,2,2000,1,2
pp,2,1,0.02,0.038498243400349755,425,100001,2,2000,1,2
pp,1,2,0.02,0.025970004651794363,425,100001,2,2000,1,2
pp,2,2,0.98,0.9615017565996502,425,100001,2,2000,1,2
s,1,1,1,1,425,100001,2,2000,1,2
Pi,1,1,0.5,0.5,426,100001,2,1,1,2
Pi,2,1,0.5,0.5,426,100001,2,1,1,2
pp,1,1,0.99999,0.9999897304119929,426,100001,2,1,1,2
pp,2,1,1e-5,8.902836323960176e-6,426,100001,2,1,1,2
pp,1,2,1e-5,1.0269588007128991e-5,426,100001,2,1,1,2
pp,2,2,0.99999,0.9999910971636761,426,100001,2,1,1,2
s,1,1,1,1,426,100001,2,1,1,2
Pi,1,1,0.5,0.5,427,100001,2,200,1,2
Pi,2,1,0.5,0.5,427,100001,2,200,1,2
pp,1,1,0.998,0.997459167737715,427,100001,2,200,1,2
pp,2,1,0.002,0.001034579449195212,427,100001,2,200,1,2
pp,1,2,0.002,0.0025408322622849817,427,100001,2,200,1,2
pp,2,2,0.998,0.9989654205508048,427,100001,2,200,1,2
s,1,1,1,1,427,100001,2,200,1,2
Pi,1,1,0.5,0.5,428,100001,2,10,1,2
Pi,2,1,0.5,0.5,428,100001,2,10,1,2
pp,1,1,0.9999,0.9998598748147484,428,100001,2,10,1,2
pp,2,1,1e-4,7.316258112274605e-5,428,100001,2,10,1,2
pp,1,2,1e-4,1.4012518525159524e-4,428,100001,2,10,1,2
pp,2,2,0.9999,0.9999268374188773,428,100001,2,10,1,2
s,1,1,1,1,428,100001,2,10,1,2
Pi,1,1,0.5,0.5,429,100001,2,1,1,2
Pi,2,1,0.5,0.5,429,100001,2,1,1,2
pp,1,1,0.99999,0.9999815880795497,429,100001,2,1,1,2
pp,2,1,1e-5,1.8959037211188547e-5,429,100001,2,1,1,2
pp,1,2,1e-5,1.8411920450136917e-5,429,100001,2,1,1,2
pp,2,2,0.99999,0.9999810409627888,429,100001,2,1,1,2
s,1,1,1,1,429,100001,2,1,1,2
Pi,1,1,0.5,0.5,430,100001,2,1000,1,2
Pi,2,1,0.5,0.5,430,100001,2,1000,1,2
pp,1,1,0.99,0.9898677422729864,430,100001,2,1000,1,2
pp,2,1,0.01,0.00506813354594189,430,100001,2,1000,1,2
pp,1,2,0.01,0.010132257727013661,430,100001,2,1000,1,2
pp,2,2,0.99,0.9949318664540581,430,100001,2,1000,1,2
s,1,1,1,1,430,100001,2,1000,1,2
Pi,1,1,0.5,0.5,431,100001,2,1000,1,2
Pi,2,1,0.5,0.5,431,100001,2,1000,1,2
pp,1,1,0.99,0.9926468541531727,431,100001,2,1000,1,2
pp,2,1,0.01,0.017454190043430014,431,100001,2,1000,1,2
pp,1,2,0.01,0.0073531458468273185,431,100001,2,1000,1,2
pp,2,2,0.99,0.98254580995657,431,100001,2,1000,1,2
s,1,1,1,1,431,100001,2,1000,1,2
Pi,1,1,0.5,0.5,432,100001,2,2000,1,2
Pi,2,1,0.5,0.5,432,100001,2,2000,1,2
pp,1,1,0.98,0.9703000131015757,432,100001,2,2000,1,2
pp,2,1,0.02,0.02055035132919477,432,100001,2,2000,1,2
pp,1,2,0.02,0.029699986898424256,432,100001,2,2000,1,2
pp,2,2,0.98,0.9794496486708053,432,100001,2,2000,1,2
s,1,1,1,1,432,100001,2,2000,1,2
Pi,1,1,0.5,0.5,433,100001,2,50,1,2
Pi,2,1,0.5,0.5,433,100001,2,50,1,2
pp,1,1,0.9995,0.9992967864794663,433,100001,2,50,1,2
pp,2,1,5e-4,7.311863358452454e-4,433,100001,2,50,1,2
pp,1,2,5e-4,7.032135205337504e-4,433,100001,2,50,1,2
pp,2,2,0.9995,0.9992688136641548,433,100001,2,50,1,2
s,1,1,1,1,433,100001,2,50,1,2
Pi,1,1,0.5,0.5,434,100001,2,1000,1,2
Pi,2,1,0.5,0.5,434,100001,2,1000,1,2
pp,1,1,0.99,0.9942691755135035,434,100001,2,1000,1,2
pp,2,1,0.01,0.01370040195480032,434,100001,2,1000,1,2
pp,1,2,0.01,0.005730824486496533,434,100001,2,1000,1,2
pp,2,2,0.99,0.9862995980451997,434,100001,2,1000,1,2
s,1,1,1,1,434,100001,2,1000,1,2
Pi,1,1,0.5,0.5,435,100001,2,2,1,2
Pi,2,1,0.5,0.5,435,100001,2,2,1,2
pp,1,1,0.99998,0.999960164040367,435,100001,2,2,1,2
pp,2,1,2e-5,2.1615366425950538e-5,435,100001,2,2,1,2
pp,1,2,2e-5,3.983595963294345e-5,435,100001,2,2,1,2
pp,2,2,0.99998,0.9999783846335741,435,100001,2,2,1,2
s,1,1,1,1,435,100001,2,2,1,2
Pi,1,1,0.5,0.5,436,100001,2,5,1,2
Pi,2,1,0.5,0.5,436,100001,2,5,1,2
pp,1,1,0.99995,0.9999158767150624,436,100001,2,5,1,2
pp,2,1,5e-5,3.4884455696371635e-5,436,100001,2,5,1,2
pp,1,2,5e-5,8.412328493765513e-5,436,100001,2,5,1,2
pp,2,2,0.99995,0.9999651155443036,436,100001,2,5,1,2
s,1,1,1,1,436,100001,2,5,1,2
Pi,1,1,0.5,0.5,437,100001,2,50,1,2
Pi,2,1,0.5,0.5,437,100001,2,50,1,2
pp,1,1,0.9995,0.9992228833785268,437,100001,2,50,1,2
pp,2,1,5e-4,8.725850477905382e-4,437,100001,2,50,1,2
pp,1,2,5e-4,7.771166214731304e-4,437,100001,2,50,1,2
pp,2,2,0.9995,0.9991274149522095,437,100001,2,50,1,2
